"GEO_ID","NAME","B17011_001E","B17011_001M","B17011_002E","B17011_002M","B17011_003E","B17011_003M","B17011_004E","B17011_004M","B17011_005E","B17011_005M",
"1500000US150010204003","Block Group 3, Census Tract 204, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010204004","Block Group 4, Census Tract 204, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010205001","Block Group 1, Census Tract 205, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010205002","Block Group 2, Census Tract 205, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010205003","Block Group 3, Census Tract 205, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010205004","Block Group 4, Census Tract 205, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010205005","Block Group 5, Census Tract 205, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010206001","Block Group 1, Census Tract 206, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010206002","Block Group 2, Census Tract 206, Hawaii County, Hawaii","216100","138162","56400","55680","159700","131503","58100","57792","101600","127725",
"1500000US150010206003","Block Group 3, Census Tract 206, Hawaii County, Hawaii","312500","204505","126100","103091","186400","152659","-","**","186400","152659",
"1500000US150010206004","Block Group 4, Census Tract 206, Hawaii County, Hawaii","669900","280512","165600","98886","504400","284533","88600","74113","415800","274520",
"1500000US150010207011","Block Group 1, Census Tract 207.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010207012","Block Group 2, Census Tract 207.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010207013","Block Group 3, Census Tract 207.01, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010207021","Block Group 1, Census Tract 207.02, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010207022","Block Group 2, Census Tract 207.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010207023","Block Group 3, Census Tract 207.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010208011","Block Group 1, Census Tract 208.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010208012","Block Group 2, Census Tract 208.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010208021","Block Group 1, Census Tract 208.02, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010208022","Block Group 2, Census Tract 208.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010208023","Block Group 3, Census Tract 208.02, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010208024","Block Group 4, Census Tract 208.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010209001","Block Group 1, Census Tract 209, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010209002","Block Group 2, Census Tract 209, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010209003","Block Group 3, Census Tract 209, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210031","Block Group 1, Census Tract 210.03, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210032","Block Group 2, Census Tract 210.03, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210033","Block Group 3, Census Tract 210.03, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210051","Block Group 1, Census Tract 210.05, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210052","Block Group 2, Census Tract 210.05, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010210053","Block Group 3, Census Tract 210.05, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010210054","Block Group 4, Census Tract 210.05, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010210101","Block Group 1, Census Tract 210.10, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210102","Block Group 2, Census Tract 210.10, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210103","Block Group 3, Census Tract 210.10, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210111","Block Group 1, Census Tract 210.11, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210112","Block Group 2, Census Tract 210.11, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210131","Block Group 1, Census Tract 210.13, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210132","Block Group 2, Census Tract 210.13, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010210133","Block Group 3, Census Tract 210.13, Hawaii County, Hawaii","922500","671175","424500","497671","498000","461556","-","**","498000","461556",
"1500000US150010211011","Block Group 1, Census Tract 211.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010211012","Block Group 2, Census Tract 211.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010211061","Block Group 1, Census Tract 211.06, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010211062","Block Group 2, Census Tract 211.06, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010211063","Block Group 3, Census Tract 211.06, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010211064","Block Group 4, Census Tract 211.06, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010212021","Block Group 1, Census Tract 212.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010212022","Block Group 2, Census Tract 212.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010212023","Block Group 3, Census Tract 212.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010212024","Block Group 4, Census Tract 212.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010213001","Block Group 1, Census Tract 213, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010213002","Block Group 2, Census Tract 213, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010213003","Block Group 3, Census Tract 213, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010214021","Block Group 1, Census Tract 214.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010214022","Block Group 2, Census Tract 214.02, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010214023","Block Group 3, Census Tract 214.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215021","Block Group 1, Census Tract 215.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215022","Block Group 2, Census Tract 215.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215041","Block Group 1, Census Tract 215.04, Hawaii County, Hawaii","968000","719216","673800","775964","294300","274666","-","**","294300","274666",
"1500000US150010215042","Block Group 2, Census Tract 215.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215071","Block Group 1, Census Tract 215.07, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215072","Block Group 2, Census Tract 215.07, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215073","Block Group 3, Census Tract 215.07, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215091","Block Group 1, Census Tract 215.09, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215092","Block Group 2, Census Tract 215.09, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010215093","Block Group 3, Census Tract 215.09, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216011","Block Group 1, Census Tract 216.01, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010216012","Block Group 2, Census Tract 216.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216013","Block Group 3, Census Tract 216.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216014","Block Group 4, Census Tract 216.01, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216015","Block Group 5, Census Tract 216.01, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010216041","Block Group 1, Census Tract 216.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216042","Block Group 2, Census Tract 216.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216043","Block Group 3, Census Tract 216.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010216044","Block Group 4, Census Tract 216.04, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010216045","Block Group 5, Census Tract 216.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010217021","Block Group 1, Census Tract 217.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010217022","Block Group 2, Census Tract 217.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010217023","Block Group 3, Census Tract 217.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010217041","Block Group 1, Census Tract 217.04, Hawaii County, Hawaii","549800","582317","549800","582317","-","**","-","**","-","**",
"1500000US150010217042","Block Group 2, Census Tract 217.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010217043","Block Group 3, Census Tract 217.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010217044","Block Group 4, Census Tract 217.04, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010218001","Block Group 1, Census Tract 218, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010218002","Block Group 2, Census Tract 218, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010218003","Block Group 3, Census Tract 218, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010218004","Block Group 4, Census Tract 218, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010219021","Block Group 1, Census Tract 219.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010219022","Block Group 2, Census Tract 219.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010219023","Block Group 3, Census Tract 219.02, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150010220001","Block Group 1, Census Tract 220, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010220002","Block Group 2, Census Tract 220, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010221021","Block Group 1, Census Tract 221.02, Hawaii County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150010221022","Block Group 2, Census Tract 221.02, Hawaii County, Hawaii","550000","414832","-","**","550000","414832","-","**","550000","414832",
"1500000US150019900000","Block Group 0, Census Tract 9900, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019901000","Block Group 0, Census Tract 9901, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019903000","Block Group 0, Census Tract 9903, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019904000","Block Group 0, Census Tract 9904, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019905000","Block Group 0, Census Tract 9905, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019906000","Block Group 0, Census Tract 9906, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019907000","Block Group 0, Census Tract 9907, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019908000","Block Group 0, Census Tract 9908, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019909000","Block Group 0, Census Tract 9909, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019910000","Block Group 0, Census Tract 9910, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019911000","Block Group 0, Census Tract 9911, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019912000","Block Group 0, Census Tract 9912, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019913000","Block Group 0, Census Tract 9913, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019914000","Block Group 0, Census Tract 9914, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019915000","Block Group 0, Census Tract 9915, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019916000","Block Group 0, Census Tract 9916, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150019917000","Block Group 0, Census Tract 9917, Hawaii County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001061","Block Group 1, Census Tract 1.06, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001062","Block Group 2, Census Tract 1.06, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001063","Block Group 3, Census Tract 1.06, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001064","Block Group 4, Census Tract 1.06, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001071","Block Group 1, Census Tract 1.07, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001072","Block Group 2, Census Tract 1.07, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001073","Block Group 3, Census Tract 1.07, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001081","Block Group 1, Census Tract 1.08, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001082","Block Group 2, Census Tract 1.08, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001101","Block Group 1, Census Tract 1.10, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001102","Block Group 2, Census Tract 1.10, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001103","Block Group 3, Census Tract 1.10, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001111","Block Group 1, Census Tract 1.11, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001112","Block Group 2, Census Tract 1.11, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001113","Block Group 3, Census Tract 1.11, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001121","Block Group 1, Census Tract 1.12, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001122","Block Group 2, Census Tract 1.12, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030001123","Block Group 3, Census Tract 1.12, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030001141","Block Group 1, Census Tract 1.14, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030002001","Block Group 1, Census Tract 2, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030002002","Block Group 2, Census Tract 2, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030002003","Block Group 3, Census Tract 2, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030002004","Block Group 4, Census Tract 2, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030002005","Block Group 5, Census Tract 2, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030003011","Block Group 1, Census Tract 3.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030003012","Block Group 2, Census Tract 3.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030003021","Block Group 1, Census Tract 3.02, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030003022","Block Group 2, Census Tract 3.02, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030003023","Block Group 3, Census Tract 3.02, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030004011","Block Group 1, Census Tract 4.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030004021","Block Group 1, Census Tract 4.02, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030004022","Block Group 2, Census Tract 4.02, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030005001","Block Group 1, Census Tract 5, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030005002","Block Group 2, Census Tract 5, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030005003","Block Group 3, Census Tract 5, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030005004","Block Group 4, Census Tract 5, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030005005","Block Group 5, Census Tract 5, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030006001","Block Group 1, Census Tract 6, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030006002","Block Group 2, Census Tract 6, Honolulu County, Hawaii","466300","488928","466300","488928","-","**","-","**","-","**",
"1500000US150030007001","Block Group 1, Census Tract 7, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030007002","Block Group 2, Census Tract 7, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030007003","Block Group 3, Census Tract 7, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030008001","Block Group 1, Census Tract 8, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030008002","Block Group 2, Census Tract 8, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030008003","Block Group 3, Census Tract 8, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030008004","Block Group 4, Census Tract 8, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030009011","Block Group 1, Census Tract 9.01, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030009012","Block Group 2, Census Tract 9.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030009021","Block Group 1, Census Tract 9.02, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030009022","Block Group 2, Census Tract 9.02, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030009031","Block Group 1, Census Tract 9.03, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030009032","Block Group 2, Census Tract 9.03, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030010001","Block Group 1, Census Tract 10, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030010002","Block Group 2, Census Tract 10, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030011001","Block Group 1, Census Tract 11, Honolulu County, Hawaii","759900","622554","263800","368410","496100","543564","-","**","496100","543564",
"1500000US150030011002","Block Group 2, Census Tract 11, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030012011","Block Group 1, Census Tract 12.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030012012","Block Group 2, Census Tract 12.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030012021","Block Group 1, Census Tract 12.02, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030012022","Block Group 2, Census Tract 12.02, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030013001","Block Group 1, Census Tract 13, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030013002","Block Group 2, Census Tract 13, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030013003","Block Group 3, Census Tract 13, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030013004","Block Group 4, Census Tract 13, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030014001","Block Group 1, Census Tract 14, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030014002","Block Group 2, Census Tract 14, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030015001","Block Group 1, Census Tract 15, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030015002","Block Group 2, Census Tract 15, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030015003","Block Group 3, Census Tract 15, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030016001","Block Group 1, Census Tract 16, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030016002","Block Group 2, Census Tract 16, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030016003","Block Group 3, Census Tract 16, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030017001","Block Group 1, Census Tract 17, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030017002","Block Group 2, Census Tract 17, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030018011","Block Group 1, Census Tract 18.01, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030018012","Block Group 2, Census Tract 18.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030018031","Block Group 1, Census Tract 18.03, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030018032","Block Group 2, Census Tract 18.03, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030018033","Block Group 3, Census Tract 18.03, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030018041","Block Group 1, Census Tract 18.04, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030019011","Block Group 1, Census Tract 19.01, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030019031","Block Group 1, Census Tract 19.03, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030019032","Block Group 2, Census Tract 19.03, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030019041","Block Group 1, Census Tract 19.04, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030019042","Block Group 2, Census Tract 19.04, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030020031","Block Group 1, Census Tract 20.03, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030020032","Block Group 2, Census Tract 20.03, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030020041","Block Group 1, Census Tract 20.04, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030020051","Block Group 1, Census Tract 20.05, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030020052","Block Group 2, Census Tract 20.05, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030020061","Block Group 1, Census Tract 20.06, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030020062","Block Group 2, Census Tract 20.06, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030021001","Block Group 1, Census Tract 21, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030021002","Block Group 2, Census Tract 21, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030022011","Block Group 1, Census Tract 22.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030022012","Block Group 2, Census Tract 22.01, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
"1500000US150030022021","Block Group 1, Census Tract 22.02, Honolulu County, Hawaii","-","**","-","**","-","**","-","**","-","**",
"1500000US150030022022","Block Group 2, Census Tract 22.02, Honolulu County, Hawaii","366600","345084","-","**","366600","345084","-","**","366600","345084",
"1500000US150030023001","Block Group 1, Census Tract 23, Honolulu County, Hawaii","null","null","null","null","null","null","null","null","null","null",
